#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 16,     0.58, 3,   boost,   74.79,  98415.00,  245.10,  113.84,  114.75, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.59, 3,   boost,   74.04,  98416.00,  245.02,  113.75,  115.54, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.60, 3,   boost,   73.27,  98395.00,  246.81,  115.54,  116.32, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.61, 3,   boost,   72.47,  98369.00,  249.02,  117.76,  117.10, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.62, 3,   boost,   71.65,  98344.00,  251.15,  119.89,  117.86, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.63, 3,   boost,   70.81,  98328.00,  252.52,  121.25,  118.62, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.64, 3,   boost,   69.94,  98316.00,  253.54,  122.28,  119.37, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.65, 3,   boost,   69.05,  98297.00,  255.16,  123.90,  120.11, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.66, 3,   boost,   68.15,  98272.00,  257.30,  126.03,  120.83, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.67, 3,   boost,   67.22,  98272.00,  257.30,  126.03,  121.55, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.68, 3,   boost,   66.27,  98254.00,  258.83,  127.57,  122.26, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.69, 3,   boost,   65.30,  98217.00,  261.99,  130.73,  122.96, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.70, 3,   boost,   64.31,  98206.00,  262.93,  131.66,  123.65, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.71, 3,   boost,   63.31,  98183.00,  264.89,  133.63,  124.32, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.72, 3,   boost,   62.28,  98165.00,  266.43,  135.17,  124.99, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.73, 3,   boost,   61.24,  98150.00,  267.71,  136.45,  125.64, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.74, 3,   boost,   60.18,  98136.00,  268.91,  137.64,  126.29, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.75, 3,   boost,   59.11,  98120.00,  270.27,  139.01,  126.92, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.76, 3,   boost,   58.02,  98106.00,  271.47,  140.21,  127.53, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.77, 3,   boost,   56.92,  98097.00,  272.24,  140.97,  128.14, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.78, 3,   boost,   55.80,  98097.00,  272.24,  140.97,  128.73, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.79, 3,   boost,   54.68,  98076.00,  274.03,  142.77,  129.32, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.80, 3,   boost,   53.53,  98048.00,  276.43,  145.16,  129.88, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.81, 3,   boost,   52.38,  98024.00,  278.48,  147.21,  130.44, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.82, 3,   boost,   51.22,  98008.00,  279.85,  148.58,  130.98, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.83, 3,   boost,   50.05,  97999.00,  280.62,  149.35,  131.51, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.84, 3,   boost,   48.87,  97983.00,  281.99,  150.72,  132.03, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.85, 3,   boost,   47.68,  97976.00,  282.58,  151.32,  132.53, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.86, 3,   boost,   46.48,  97957.00,  284.21,  152.95,  133.02, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.87, 3,   boost,   45.28,  97946.00,  285.15,  153.89,  133.50, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.88, 3,   boost,   44.07,  97936.00,  286.01,  154.74,  133.96, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     0.89, 3,   boost,   42.85,  97936.00,  286.01,  154.74,  134.41, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.90, 3,   boost,   41.64,  97920.00,  287.38,  156.11,  134.85, 23.7, 0.00, 0.00, 4.00
